subjID	participant	shift	activity	explosion	pumps
15N11	15	N1	1	1	42
15N11	15	N1	1	1	22
15N11	15	N1	1	0	50
15N11	15	N1	1	0	50
15N11	15	N1	1	1	2
15N11	15	N1	1	1	37
15N11	15	N1	1	1	25
15N11	15	N1	1	0	64
15N11	15	N1	1	1	31
15N11	15	N1	1	0	100
15N11	15	N1	1	0	64
15N11	15	N1	1	1	3
15N11	15	N1	1	1	39
15N11	15	N1	1	0	64
15N11	15	N1	1	1	32
15N11	15	N1	1	1	79
15N11	15	N1	1	1	5
15N11	15	N1	1	0	64
15N11	15	N1	1	1	59
15N11	15	N1	1	1	50
15N11	15	N1	1	0	64
15N11	15	N1	1	1	63
15N11	15	N1	1	0	64
15N11	15	N1	1	0	64
15N11	15	N1	1	0	64
15N11	15	N1	1	1	62
15N11	15	N1	1	0	64
15N11	15	N1	1	1	11
15N11	15	N1	1	1	42
15N11	15	N1	1	1	87
15N12	15	N1	2	0	64
15N12	15	N1	2	0	64
15N12	15	N1	2	1	22
15N12	15	N1	2	0	64
15N12	15	N1	2	1	1
15N12	15	N1	2	0	64
15N12	15	N1	2	0	64
15N12	15	N1	2	0	64
15N12	15	N1	2	1	28
15N12	15	N1	2	1	29
15N12	15	N1	2	1	41
15N12	15	N1	2	0	64
15N12	15	N1	2	1	40
15N12	15	N1	2	1	62
15N12	15	N1	2	1	2
15N12	15	N1	2	0	64
15N12	15	N1	2	1	27
15N12	15	N1	2	0	64
15N12	15	N1	2	1	43
15N12	15	N1	2	0	64
15N12	15	N1	2	1	13
15N12	15	N1	2	0	64
15N12	15	N1	2	0	64
15N12	15	N1	2	0	64
15N12	15	N1	2	0	64
15N12	15	N1	2	0	64
15N12	15	N1	2	1	10
15N12	15	N1	2	1	18
15N12	15	N1	2	0	64
15N12	15	N1	2	0	64
15N21	15	N2	1	0	100
15N21	15	N2	1	1	48
15N21	15	N2	1	0	64
15N21	15	N2	1	0	100
15N21	15	N2	1	0	64
15N21	15	N2	1	1	17
15N21	15	N2	1	1	26
15N21	15	N2	1	0	64
15N21	15	N2	1	0	64
15N21	15	N2	1	1	35
15N21	15	N2	1	0	64
15N21	15	N2	1	0	64
15N21	15	N2	1	1	19
15N21	15	N2	1	1	1
15N21	15	N2	1	1	4
15N21	15	N2	1	0	64
15N21	15	N2	1	0	64
15N21	15	N2	1	0	100
15N21	15	N2	1	1	53
15N21	15	N2	1	1	63
