subjID	participant	shift	activity	ballooncount	explosion	pumps
03D11	03	D1	1	19	1	62
03D11	03	D1	1	20	0	63
03D11	03	D1	1	21	0	62
03D11	03	D1	1	22	1	61
03D11	03	D1	1	23	0	62
03D11	03	D1	1	24	1	61
03D11	03	D1	1	25	1	62
03D11	03	D1	1	26	1	63
03D11	03	D1	1	27	1	64
03D11	03	D1	1	28	0	65
03D11	03	D1	1	29	1	64
03D11	03	D1	1	30	1	65
03D12	03	D1	2	1	1	64
03D12	03	D1	2	2	0	65
03D12	03	D1	2	3	1	64
03D12	03	D1	2	4	1	65
03D12	03	D1	2	5	1	65
03D12	03	D1	2	6	0	64
03D12	03	D1	2	7	0	63
03D12	03	D1	2	8	0	63
03D12	03	D1	2	9	1	62
03D12	03	D1	2	10	0	62
03D12	03	D1	2	11	0	63
03D12	03	D1	2	12	1	62
03D12	03	D1	2	13	1	64
03D12	03	D1	2	14	1	65
03D12	03	D1	2	15	0	66
03D12	03	D1	2	16	1	65
03D12	03	D1	2	17	1	64
03D12	03	D1	2	18	1	65
03D12	03	D1	2	19	0	66
03D12	03	D1	2	20	1	65
03D12	03	D1	2	21	1	66
03D12	03	D1	2	22	0	66
03D12	03	D1	2	23	0	65
03D12	03	D1	2	24	1	64
03D12	03	D1	2	25	1	65
03D12	03	D1	2	26	1	66
03D12	03	D1	2	27	0	67
03D12	03	D1	2	28	1	66
03D12	03	D1	2	29	1	67
03D12	03	D1	2	30	1	68
03D21	03	D2	1	1	1	64
03D21	03	D2	1	2	1	64
03D21	03	D2	1	3	0	64
03D21	03	D2	1	4	1	64
03D21	03	D2	1	5	1	64
03D21	03	D2	1	6	0	64
03D21	03	D2	1	7	1	64
03D21	03	D2	1	8	0	64
03D21	03	D2	1	9	0	64
03D21	03	D2	1	10	1	64
03D21	03	D2	1	11	0	64
03D21	03	D2	1	12	0	64
03D21	03	D2	1	13	1	64
03D21	03	D2	1	14	0	64
03D21	03	D2	1	15	0	64
03D21	03	D2	1	16	0	64
03D21	03	D2	1	17	0	6
03D21	03	D2	1	18	0	64
03D21	03	D2	1	19	1	64
03D21	03	D2	1	20	1	64
03D21	03	D2	1	21	0	64
03D21	03	D2	1	22	1	64
03D21	03	D2	1	23	0	64
03D21	03	D2	1	24	0	64
03D21	03	D2	1	25	0	64
03D21	03	D2	1	26	0	64
03D21	03	D2	1	27	1	64
03D21	03	D2	1	28	1	64
03D21	03	D2	1	29	1	64
03D21	03	D2	1	30	1	64
03D22	03	D2	2	1	1	64
03D22	03	D2	2	2	0	65
03D22	03	D2	2	3	0	64
03D22	03	D2	2	4	0	63
03D22	03	D2	2	5	0	62
03D22	03	D2	2	6	0	61
03D22	03	D2	2	7	0	60
03D22	03	D2	2	8	0	59
03D22	03	D2	2	9	0	58
03D22	03	D2	2	10	0	57
03D22	03	D2	2	11	1	56
03D22	03	D2	2	12	0	57
03D22	03	D2	2	13	0	56
03D22	03	D2	2	14	1	55
03D22	03	D2	2	15	0	56
03D22	03	D2	2	16	1	55
03D22	03	D2	2	17	1	56
03D22	03	D2	2	18	0	57
03D22	03	D2	2	19	1	56
03D22	03	D2	2	20	1	57
03D22	03	D2	2	21	1	56
03D22	03	D2	2	22	1	57
03D22	03	D2	2	23	1	56
03D22	03	D2	2	24	0	57
03D22	03	D2	2	25	1	56
03D22	03	D2	2	26	0	57
03D22	03	D2	2	27	0	56
03D22	03	D2	2	28	1	56
03D22	03	D2	2	29	0	57
03D22	03	D2	2	30	1	56
03N11	03	N1	1	1	0	64
03N11	03	N1	1	2	0	60
03N11	03	N1	1	3	0	56
03N11	03	N1	1	4	1	52
03N11	03	N1	1	5	0	56
03N11	03	N1	1	6	0	52
03N11	03	N1	1	7	0	48
03N11	03	N1	1	8	0	44
03N11	03	N1	1	9	0	42
03N11	03	N1	1	10	0	42
03N11	03	N1	1	11	0	42
03N11	03	N1	1	12	0	42
03N11	03	N1	1	13	1	42
03N11	03	N1	1	14	1	42
03N11	03	N1	1	15	0	42
03N11	03	N1	1	16	0	42
03N11	03	N1	1	17	0	42
03N11	03	N1	1	18	0	38
03N11	03	N1	1	19	0	34
03N11	03	N1	1	20	1	32
03N11	03	N1	1	21	0	36
03N11	03	N1	1	22	1	32
03N11	03	N1	1	23	0	28
03N11	03	N1	1	24	1	32
03N11	03	N1	1	25	0	28
03N11	03	N1	1	26	0	32
03N11	03	N1	1	27	0	28
03N11	03	N1	1	28	1	32
03N11	03	N1	1	29	0	36
03N11	03	N1	1	30	0	32
03N12	03	N1	2	1	0	64
03N12	03	N1	2	2	0	62
03N12	03	N1	2	3	1	60
03N12	03	N1	2	4	0	64
03N12	03	N1	2	5	0	62
03N12	03	N1	2	6	1	60
03N12	03	N1	2	7	1	62
03N12	03	N1	2	8	0	64
03N12	03	N1	2	9	1	62
03N12	03	N1	2	10	1	64
03N12	03	N1	2	11	0	66
03N12	03	N1	2	12	1	64
03N12	03	N1	2	13	1	66
03N12	03	N1	2	14	0	68
03N12	03	N1	2	15	1	66
03N12	03	N1	2	16	0	68
03N12	03	N1	2	17	1	66
03N12	03	N1	2	18	0	68
03N12	03	N1	2	19	1	66
03N12	03	N1	2	20	1	68
03N12	03	N1	2	21	0	66
03N12	03	N1	2	22	1	68
03N12	03	N1	2	23	1	70
03N12	03	N1	2	24	1	72
03N12	03	N1	2	25	0	74
03N12	03	N1	2	26	0	72
03N12	03	N1	2	27	0	70
03N12	03	N1	2	28	1	68
03N12	03	N1	2	29	1	70
03N12	03	N1	2	30	0	72
03N21	03	N2	1	1	0	64
03N21	03	N2	1	2	0	63
03N21	03	N2	1	3	0	62
03N21	03	N2	1	4	0	61
03N21	03	N2	1	5	1	60
03N21	03	N2	1	6	0	61
03N21	03	N2	1	7	1	59
03N21	03	N2	1	8	1	60
03N21	03	N2	1	9	0	61
03N21	03	N2	1	10	0	59
03N21	03	N2	1	11	1	58
03N21	03	N2	1	12	1	60
03N21	03	N2	1	13	0	62
03N21	03	N2	1	14	0	60
03N21	03	N2	1	15	0	58
03N21	03	N2	1	16	1	56
03N21	03	N2	1	17	1	58
03N21	03	N2	1	18	0	60
03N21	03	N2	1	19	0	58
03N21	03	N2	1	20	0	56
03N21	03	N2	1	21	1	55
03N21	03	N2	1	22	0	57
03N21	03	N2	1	23	0	56
03N21	03	N2	1	24	1	55
03N21	03	N2	1	25	0	56
03N21	03	N2	1	26	1	54
03N21	03	N2	1	27	0	56
03N21	03	N2	1	28	0	54
03N21	03	N2	1	29	0	53
03N21	03	N2	1	30	1	51
03N22	03	N2	2	1	1	64
03N22	03	N2	2	2	1	65
03N22	03	N2	2	3	1	67
03N22	03	N2	2	4	1	69
03N22	03	N2	2	5	0	71
03N22	03	N2	2	6	0	69
03N22	03	N2	2	7	0	67
03N22	03	N2	2	8	0	65
03N22	03	N2	2	9	1	64
03N22	03	N2	2	10	0	65
03N22	03	N2	2	11	1	63
03N22	03	N2	2	12	1	65
03N22	03	N2	2	13	0	66
03N22	03	N2	2	14	0	65
03N22	03	N2	2	15	1	63
03N22	03	N2	2	16	0	64
03N22	03	N2	2	17	1	62
03N22	03	N2	2	18	1	64
03N22	03	N2	2	19	1	66
03N22	03	N2	2	20	1	68
03N22	03	N2	2	21	1	70
03N22	03	N2	2	22	1	72
03N22	03	N2	2	23	0	73
03N22	03	N2	2	24	0	71
03N22	03	N2	2	25	0	70
03N22	03	N2	2	26	0	68
03N22	03	N2	2	27	0	66
03N22	03	N2	2	28	1	60
03N22	03	N2	2	29	0	62
03N22	03	N2	2	30	1	60
04D11	04	D1	1	1	1	63
04D11	04	D1	1	2	1	62
04D11	04	D1	1	3	1	61
04D11	04	D1	1	4	0	60
04D11	04	D1	1	5	1	60
04D11	04	D1	1	6	1	60
04D11	04	D1	1	7	0	60
04D11	04	D1	1	8	0	60
04D11	04	D1	1	9	0	60
04D11	04	D1	1	10	0	60
04D11	04	D1	1	11	1	60
04D11	04	D1	1	12	0	60
04D11	04	D1	1	13	1	60
